24.05,12.2,1
13.4,11.65,4
9.2,22.35,2
16.7,6.5,4
30.6,13.8,1
18.45,18.85,3
13.2,5.85,4
11.1,9.3,4
10.6,18.85,2
24.65,11.15,1
10.4,19.55,2
17.85,11.5,4
20.1,18.95,3
11.7,10.55,4
16.55,12.05,4
21.25,7.25,4
10.3,19.15,2
13.35,6.85,4
18.35,7.6,4
20.9,9.9,4
27.15,15.05,1
12.9,8.5,4
19.25,10.35,4
25.2,16.2,1
28.05,13.95,1
26.75,15.05,1
11.3,8.5,4
21.25,10.1,4
22.95,12.75,1
17.9,21.95,3
24.1,13.85,1
20.15,6.45,4
19.55,19.3,3
13.65,7.75,4
18.5,11.15,4
17,10.05,5
18.55,19.2,3
18.95,6.85,4
9.2,20.8,2
27.75,14.65,1
12.4,10.1,4
24.85,16.55,1
16.05,6.85,4
17,18.9,3
20.45,22.75,3
13.05,11.1,4
22.2,17.15,3
26.95,15.5,1
15.35,7.05,4
17.9,17,3
19.1,17.8,3
15.85,9.95,5
29.65,14.75,1
21.25,20.4,3
12.1,7.6,4
18.3,12.75,4
14.45,18.35,3
24.55,12.4,1
24.9,12.7,1
18.6,12,4
12.85,9.05,4
16.25,6.1,4
10.35,10.2,4
12.45,10.9,4
24.85,13.95,1
12.2,7,4
25.7,16.05,1
23.15,12.35,1
24.55,13.1,1
10.8,19.6,2
10.7,12.25,4
13.65,6.25,4
13.95,22.05,2
13.55,10.65,4
11.15,18.1,2
12.65,12.4,4
25.9,14.2,1
17.2,9.25,5
21.05,8,4
19.05,7.45,4
21.45,19,3
26.05,12.35,1
26.35,15.35,1
15.35,9.9,5
10.75,9,4
17.75,20.55,3
21.9,8.85,4
19.5,9.2,4
18,11.95,4
27.3,14.55,1
18.95,19.3,3
17.4,11.65,4
19.9,10.6,4
19.95,8.85,4
12.65,7.95,4
20.9,17.9,3
15.3,9.15,5
9.75,11.35,4
24.8,14.7,1
14.45,6.3,4
20.3,10.05,4
9.6,18.85,2
17.1,12.1,4
25.55,13.6,1
24.5,11.8,1
17.95,6.2,4
25.6,12.05,1
19.55,7.05,4
